Job ID,Submission Time,Stage IDs,Completion Time
0,1483442471254,[0],NOVAL
1,1483442471352,[1],NOVAL
2,1483442471409,[2],NOVAL
2,NOVAL,NOVAL,1483442473869
0,NOVAL,NOVAL,1483442474449
1,NOVAL,NOVAL,1483442474478
3,1483442475900,"[5, 6, 3, 4]",NOVAL
3,NOVAL,NOVAL,1483443002290
