Job ID,Submission Time,Stage IDs,Completion Time
1,1481578484725,[0],NOVAL
0,1481578484774,[1],NOVAL
1,NOVAL,NOVAL,1481578491211
0,NOVAL,NOVAL,1481578491272
2,1481578492614,"[2, 3]",NOVAL
2,NOVAL,NOVAL,1481579084909
