Job ID,Submission Time,Stage IDs,Completion Time
0,1483428380512,[0],NOVAL
1,1483428380557,[1],NOVAL
2,1483428380587,[2],NOVAL
1,NOVAL,NOVAL,1483428383717
0,NOVAL,NOVAL,1483428383831
2,NOVAL,NOVAL,1483428387211
3,1483428388598,"[5, 6, 3, 4]",NOVAL
3,NOVAL,NOVAL,1483428883864
