Job ID,Submission Time,Stage IDs,Completion Time
0,1490223191336,[0],NOVAL
1,1490223191367,[1],NOVAL
2,1490223191430,[2],NOVAL
3,1490223191487,[3],NOVAL
0,NOVAL,NOVAL,1490223194610
3,NOVAL,NOVAL,1490223194803
1,NOVAL,NOVAL,1490223195121
2,NOVAL,NOVAL,1490223195322
4,1490223197549,"[9, 5, 6, 7, 4, 8]",NOVAL
4,NOVAL,NOVAL,1490223938863
