Stage ID,Stage Name,Parent IDs,Number of Tasks,Submission Time,Completion Time
1,run at ThreadPoolExecutor.java:1145,[],2,1483428380583,1483428383714
0,run at ThreadPoolExecutor.java:1145,[],2,1483428380553,1483428383831
2,run at ThreadPoolExecutor.java:1145,[],2,1483428380605,1483428387211
4,showString at NativeMethodAccessorImpl.java:-2,[],500,1483428388785,1483428815036
3,showString at NativeMethodAccessorImpl.java:-2,[],500,1483428388702,1483428818995
5,showString at NativeMethodAccessorImpl.java:-2,"[3, 4]",200,1483428819175,1483428882799
6,showString at NativeMethodAccessorImpl.java:-2,[5],200,1483428882873,1483428883864
