Job ID,Submission Time,Stage IDs,Completion Time
0,1483718969388,[0],NOVAL
1,1483718969446,[1],NOVAL
2,1483718969468,[2],NOVAL
1,NOVAL,NOVAL,1483718972029
2,NOVAL,NOVAL,1483718972498
0,NOVAL,NOVAL,1483718972547
3,1483718974062,"[5, 6, 3, 4]",NOVAL
3,NOVAL,NOVAL,1483719141072
