Job ID,Submission Time,Stage IDs,Completion Time
0,1490227739487,[0],NOVAL
0,NOVAL,NOVAL,1490227742980
1,1490227744850,"[1, 2, 3, 4]",NOVAL
1,NOVAL,NOVAL,1490228103473
2,1490228103732,"[9, 5, 6, 7, 8]",NOVAL
2,NOVAL,NOVAL,1490228104938
3,1490228105109,"[12, 13, 10, 14, 11]",NOVAL
3,NOVAL,NOVAL,1490228105182
