Stage ID,Stage Name,Parent IDs,Number of Tasks,Submission Time,Completion Time
85,mean at /home/sshuser/execution_scripts/../DQAssessment.py:899,[84],428,1489737790091,1489737791940
87,max at /home/sshuser/execution_scripts/../DQAssessment.py:900,[86],428,1489737792047,1489737793881
89,min at /home/sshuser/execution_scripts/../DQAssessment.py:901,[88],428,1489737793979,1489737796125
91,runJob at PythonRDD.scala:441,[90],1,1489737796167,1489737796190
93,json at NativeMethodAccessorImpl.java:-2,[92],1,1489737796575,1489737812579
94,join at /home/sshuser/execution_scripts/../DQAssessment.py:823,[],440,1489737812861,1489737928135
95,runJob at PythonRDD.scala:441,[94],1,1489737928141,1489737928199
97,combineByKey at /home/sshuser/execution_scripts/../DQAssessment.py:846,[96],440,1489737928302,1489737934983
98,sum at /home/sshuser/execution_scripts/../DQAssessment.py:629,[97],440,1489737935008,1489737936705
101,mean at /home/sshuser/execution_scripts/../DQAssessment.py:630,[100],440,1489737936755,1489737938527
104,runJob at PythonRDD.scala:441,[103],1,1489737938573,1489737938624
107,json at NativeMethodAccessorImpl.java:-2,[106],1,1489737938860,1489737957542
110,mean at /home/sshuser/execution_scripts/../DQAssessment.py:899,[109],440,1489737957796,1489737959582
113,max at /home/sshuser/execution_scripts/../DQAssessment.py:900,[112],440,1489737959701,1489737961450
116,min at /home/sshuser/execution_scripts/../DQAssessment.py:901,[115],440,1489737961504,1489737963295
119,runJob at PythonRDD.scala:441,[118],1,1489737963350,1489737963408
122,json at NativeMethodAccessorImpl.java:-2,[121],1,1489737963598,1489737982229
123,runJob at PythonRDD.scala:441,[],1,1489737982540,1489737982630
124,runJob at PythonRDD.scala:441,[],4,1489737982644,1489737982739
125,runJob at PythonRDD.scala:441,[],19,1489737982759,1489737982944
126,json at NativeMethodAccessorImpl.java:-2,[],1,1489737983085,1489737985399
127,runJob at PythonRDD.scala:441,[],1,1489737985661,1489737985752
128,runJob at PythonRDD.scala:441,[],4,1489737985767,1489737985862
129,runJob at PythonRDD.scala:441,[],7,1489737985879,1489737985973
130,runJob at PythonRDD.scala:441,[],1,1489737985995,1489737986085
131,runJob at PythonRDD.scala:441,[],4,1489737986105,1489737986205
132,runJob at PythonRDD.scala:441,[],7,1489737986220,1489737986317
133,json at NativeMethodAccessorImpl.java:-2,[],1,1489737986490,1489737987803
134,mean at /home/sshuser/execution_scripts/../DQAssessment.py:935,[],428,1489737988006,1489738102546
135,max at /home/sshuser/execution_scripts/../DQAssessment.py:936,[],428,1489738102593,1489738210379
136,min at /home/sshuser/execution_scripts/../DQAssessment.py:937,[],428,1489738210403,1489738319151
137,stats at /home/sshuser/execution_scripts/../DQAssessment.py:354,[],428,1489738319223,1489738415038
138,reduceByKey at /home/sshuser/execution_scripts/../DQAssessment.py:394,[],428,1489738415118,1489738511991
139,join at /home/sshuser/execution_scripts/../DQAssessment.py:398,[138],856,1489738512061,1489738614494
140,reduceByKey at /home/sshuser/execution_scripts/../DQAssessment.py:400,[139],856,1489738614620,1489738620576
141,runJob at PythonRDD.scala:441,[140],1,1489738620581,1489738620609
145,json at NativeMethodAccessorImpl.java:-2,[144],1,1489738620914,1489738656180
149,mean at /home/sshuser/execution_scripts/../DQAssessment.py:415,[148],856,1489738656445,1489738659759
153,mean at /home/sshuser/execution_scripts/../DQAssessment.py:415,[152],856,1489738659832,1489738663270
157,mean at /home/sshuser/execution_scripts/../DQAssessment.py:415,[156],856,1489738663338,1489738666744
