Job ID,Submission Time,Stage IDs,Completion Time
0,1483065392187,[0],NOVAL
1,1483065392243,[1],NOVAL
1,NOVAL,NOVAL,1483065398678
0,NOVAL,NOVAL,1483065404318
2,1483065405156,"[2, 3]",NOVAL
2,NOVAL,NOVAL,1483065866489
